source,target,value,year
CAN_E,MEX,1710023.344,2001
CAN_E,RUS,180648.468,2001
CAN_E,SAU,210924.191,2001
CAN_E,TUR,109097.214,2001
CAN_E,USA,210192400.8,2001
CAN_E,ZAF,117951.491,2001
CHN_E,ARG,573695.719,2001
CHN_E,AUS,3569445.889,2001
CHN_E,BRA,1350925.018,2001
CHN_E,CAN,3345577.043,2001
CHN_E,DEU,9751099.988,2001
CHN_E,EUN,73429975.93,2001
CHN_E,FRA,3701082.564,2001
CHN_E,GBR,6780522.858,2001
CHN_E,IDN,2835706.342,2001
CHN_E,IND,1895832.787,2001
CHN_E,ITA,3991554.91,2001
CHN_E,JPN,44940523.79,2001
CHN_E,KOR,12518777.84,2001
CHN_E,MEX,1790216.774,2001
CHN_E,RUS,2710471.97,2001
CHN_E,SAU,1354114.676,2001
CHN_E,TUR,674006.603,2001
CHN_E,USA,54355080.2,2001
CHN_E,ZAF,1048574.038,2001
DEU_E,ARG,996925,2001
DEU_E,AUS,3196680,2001
DEU_E,BRA,5027010,2001
DEU_E,CAN,4585309,2001
DEU_E,CHN,10714927,2001
DEU_E,FRA,61235632,2001
DEU_E,GBR,46392573,2001
DEU_E,IDN,1281348,2001
DEU_E,IND,2016964,2001
DEU_E,ITA,41349910,2001
DEU_E,JPN,11403153,2001
DEU_E,KOR,3999004,2001
DEU_E,MEX,4742523,2001
DEU_E,RUS,9034941,2001
DEU_E,SAU,2661451,2001
DEU_E,TUR,5180828,2001
DEU_E,USA,59613961,2001
DEU_E,ZAF,3922845,2001
EUN_E,ARG,4563643.423,2001
EUN_E,AUS,14014680.04,2001
EUN_E,BRA,16619500.35,2001
EUN_E,CAN,20038642.98,2001
EUN_E,CHN,27443557.83,2001
EUN_E,IDN,4098028.978,2001
EUN_E,IND,11582463.15,2001
EUN_E,JPN,40725309.25,2001
EUN_E,KOR,14175848.05,2001
EUN_E,MEX,13724941.07,2001
EUN_E,RUS,28282464.44,2001
EUN_E,SAU,12088141.55,2001
EUN_E,TUR,19571998.58,2001
EUN_E,USA,219870667.4,2001
EUN_E,ZAF,11258590.91,2001
FRA_E,ARG,723231.027,2001
FRA_E,AUS,1229950.751,2001
FRA_E,BRA,2464635.56,2001
