source,target,year,value
BRA,FRA,2002,-1004163.9689999998
BRA,GBR,2002,434422.46699999995
BRA,IDN,2002,-71069.12699999998
BRA,IND,2002,292334.29900000006
BRA,ITA,2002,-55259.882000000216
BRA,JPN,2002,284263.0929999999
BRA,KOR,2002,-401347.159
BRA,MEX,2002,1683439.5140000002
BRA,RUS,2002,1021510.5529999998
BRA,SAU,2002,554591.658
BRA,TUR,2002,156151.967
BRA,USA,2002,4328957.944
BRA,ZAF,2002,299887.89300000004
CAN,CHN,2002,-1669688.1950000003
CAN,DEU,2002,-3366083.5319999997
CAN,EUN,2002,-5879199.186999999
CAN,FRA,2002,-1257612.6400000001
CAN,GBR,2002,-1997400.0419999994
CAN,IDN,2002,-63877.157999999996
CAN,IND,2002,-255697.89800000004
CAN,ITA,2002,-1370255.076
CAN,JPN,2002,-2012281.0980000002
CAN,KOR,2002,-1055228.5370000002
CAN,MEX,2002,-1467816.396
CAN,RUS,2002,67642.13600000001
CAN,SAU,2002,204367.386
CAN,TUR,2002,-69522.33600000001
CAN,USA,2002,77547544.88599998
CAN,ZAF,2002,-7001.213000000018
CHN,DEU,2002,-2339118.0840000007
CHN,EUN,2002,52186106.75299999
CHN,FRA,2002,815343.4250000003
CHN,GBR,2002,5781510.543
CHN,IDN,2002,523503.9610000001
CHN,IND,2002,1139560.4030000002
CHN,ITA,2002,1075556.1309999996
CHN,JPN,2002,8609070.581
CHN,KOR,2002,-8218670.567
CHN,MEX,2002,2209920.103
CHN,RUS,2002,-3316204.264
CHN,SAU,2002,1266843.227
CHN,TUR,2002,823510.9249999998
CHN,USA,2002,49423228.862
CHN,ZAF,2002,860336.8049999999
DEU,FRA,2002,19570032.490000002
DEU,GBR,2002,17179984.244
DEU,IDN,2002,144961.66500000004
DEU,IND,2002,197952.93500000006
DEU,ITA,2002,8922422.049000002
DEU,JPN,2002,-2493722.283
DEU,KOR,2002,853072.2050000001
DEU,MEX,2002,3780696.191
DEU,RUS,2002,2574223.216
DEU,SAU,2002,3240011.124
DEU,TUR,2002,1103242.1670000004
DEU,USA,2002,38506909.893
DEU,ZAF,2002,2221358.9
EUN,IDN,2002,-6131153.903999999
EUN,IND,2002,601330.3609999996
EUN,JPN,2002,-28625700.015999995
EUN,KOR,2002,-6604575.346000001
EUN,MEX,2002,8300845.523000001
EUN,RUS,2002,-28981457.229000002
